"period","author","text","femin_iotated","femin_approx","femin_nonexact","masc_closed_nonexact","masc_open_nonexact","masc_closed_open","base_sound"
1914,"Yesenin",,9.9,24.7,7,0.4,,2,25
1916,"Yesenin",,6.5,34,35,7.4,4.9,3.3,
1919,"Yesenin",,6.3,40.6,56.3,26.8,13.6,55.1,22
1922,"Yesenin",,6.5,39.8,43,13.6,10.8,34.4,
1924,"Yesenin",,7.3,29.2,18.8,2.4,5.2,10.4,34
1921,"Tikhonov","poemy",10.7,36.4,36.8,3,0.7,25.9,21.5
1924,"Tikhonov",,9.3,52.9,57.5,16.6,1.9,52.6,
1930,"Tikhonov","Sergo",8.5,35.2,42.9,9.6,4.8,25.9,41.5
1957,"Tikhonov",,7.2,33.8,46.9,4.8,1.2,23.5,
1920,"Antokolskii","Viion",6.5,37.7,55.5,24.9,9.1,11.2,94
1933,"Antokolskii",,6.7,41.1,23.5,3.6,8.2,2.3,66
1941,"Antokolskii",,8.9,31.5,23.9,3.2,1.9,1.9,75
1923,"Bagritski",,7,34.6,21.5,4.9,2.8,16.9,21.5
1928,"Bagritski",,13.5,37.6,20.8,3.4,2.4,6.1,31.5
1935,"Lebedev-Kumach",,5.5,36.1,20.3,1.3,0.2,1.7,39
1922,"Bezymenskii",,3.7,22.4,45.7,8.1,11.2,25.8,38
1930,"Bezymenskii",,2.2,46,20.6,5.6,5.3,3.7,21.7
1920,"Kazin",,4.5,22.9,9,3.5,2.1,19.9,
1923,"UshakovN",,11.3,45.4,32.1,6.1,3.6,29.7,50
1936,"UshakovN",,12.6,43.7,26.2,0.6,4.6,1.1,
1936,"Schipachev",,2.5,27,49.8,5.4,13.8,16.1,48.5
1960,"Schipachev",,5.4,29.9,56.6,7.7,10.7,23.9,5.5
1925,"Surkov",,7.3,32.8,33.1,7.8,,48,29
1931,"Surkov",,7.9,37.8,31.9,6,,23,37.5
1934,"Surkov",,8.3,30.6,14.9,2.3,,4.5,39.5
1941,"Surkov",,5.5,28.5,8.1,0.7,,0.4,42.5
1924,"Selvinski","Ulialiaevschina",4.6,69.2,78.9,69.8,14.9,84.2,104.5
1928,"Selvinski","Komandarm 2",9,40,51.8,36.6,16.3,36.7,
1933,"Selvinski","Umka",4.8,46.5,52.9,22.3,25.4,21.1,
1937,"Selvinski","Cheliuskinianana",6.1,55.8,53,22.5,18.6,17.7,
1941,"Selvinski",,10.5,44.9,36.9,10.5,15.3,4.5,
1952,"Selvinski","Ulialiaevschina",4.2,41.1,26.4,9.9,7.6,9.5,70.5
1924,"Isakovski",,6.4,36.9,21.4,5.8,1.8,9.2,31
1935,"Isakovski",,6.5,31,21.7,4,3.4,1,31
1927,"Prokofiev",,7.2,33.9,67,18.9,2,20.1,77.5
1935,"Prokofiev",,5.2,41,51.1,7.6,,2.7,
1953,"Prokofiev",,5.6,34.8,38.2,1.2,1.6,0.8,49
1926,"Lugovskoi",,6.8,43.7,54,30.8,2.5,45.6,72
1931,"Lugovskoi","Bolshevikam pustyni I vesny",6.7,56.1,57.8,27.5,,35.5,
1933,"Lugovskoi","Kaspijskoe more",11.3,57.4,40.5,3.3,,8.3,
1936,"Lugovskoi","Novye stikhi",7,40.3,32.8,2.7,0.8,5.5,
1955,"Lugovskoi",,2.6,39.2,33.1,2.4,1.4,4.1,48
1923,"BraunN",,7.3,51.7,66.4,17.4,8.1,41,31.5
